student_id,topic,error_type,error_share
student_0004,Fisica_Dinamica,distrazione,0.0833
student_0004,Fisica_Dinamica,none,0.9167
student_0004,Fisica_Energia,algebra,0.1667
student_0004,Fisica_Energia,concetto,0.2222
student_0004,Fisica_Energia,distrazione,0.0556
student_0004,Fisica_Energia,formula,0.1111
student_0004,Fisica_Energia,none,0.4444
student_0004,Funzioni,algebra,0.0625
student_0004,Funzioni,concetto,0.1875
student_0004,Funzioni,formula,0.125
student_0004,Funzioni,none,0.5625
student_0004,Funzioni,segno,0.0625
student_0005,Algebra,algebra,0.25
student_0005,Algebra,none,0.625
student_0005,Algebra,segno,0.125
student_0005,Derivate,algebra,0.0952
student_0005,Derivate,concetto,0.1429
student_0005,Derivate,formula,0.1905
student_0005,Derivate,none,0.5714
student_0005,Fisica_Dinamica,concetto,0.3333
student_0005,Fisica_Dinamica,formula,0.0833
student_0005,Fisica_Dinamica,none,0.5
student_0005,Fisica_Dinamica,segno,0.0833
student_0005,Fisica_Energia,concetto,0.1667
student_0005,Fisica_Energia,distrazione,0.1111
student_0005,Fisica_Energia,formula,0.2222
student_0005,Fisica_Energia,none,0.5
student_0005,Funzioni,concetto,0.125
student_0005,Funzioni,distrazione,0.0625
student_0005,Funzioni,none,0.8125
student_0006,Algebra,algebra,0.125
student_0006,Algebra,none,0.625
student_0006,Algebra,segno,0.25
student_0006,Derivate,algebra,0.0476
student_0006,Derivate,concetto,0.0952
student_0006,Derivate,distrazione,0.0952
student_0006,Derivate,formula,0.0952
student_0006,Derivate,none,0.619
student_0006,Derivate,segno,0.0476
student_0006,Fisica_Dinamica,concetto,0.25
student_0006,Fisica_Dinamica,formula,0.25
student_0006,Fisica_Dinamica,none,0.5
student_0006,Fisica_Energia,algebra,0.1111
student_0006,Fisica_Energia,concetto,0.3889
student_0006,Fisica_Energia,distrazione,0.0556
student_0006,Fisica_Energia,formula,0.0556
student_0006,Fisica_Energia,none,0.2778
student_0006,Fisica_Energia,segno,0.1111
student_0006,Funzioni,algebra,0.125
student_0006,Funzioni,concetto,0.0625
student_0006,Funzioni,formula,0.125
student_0006,Funzioni,none,0.625
student_0006,Funzioni,segno,0.0625
student_0007,Algebra,algebra,0.5
student_0007,Algebra,distrazione,0.125
student_0007,Algebra,formula,0.125
student_0007,Algebra,none,0.25
student_0007,Derivate,distrazione,0.1905
student_0007,Derivate,formula,0.1429
student_0007,Derivate,none,0.619
student_0007,Derivate,segno,0.0476
student_0007,Fisica_Dinamica,algebra,0.0833
student_0007,Fisica_Dinamica,concetto,0.0833
student_0007,Fisica_Dinamica,distrazione,0.0833
student_0007,Fisica_Dinamica,formula,0.1667
student_0007,Fisica_Dinamica,none,0.5833
student_0007,Fisica_Energia,algebra,0.1667
student_0007,Fisica_Energia,concetto,0.4444
student_0007,Fisica_Energia,distrazione,0.0556
student_0007,Fisica_Energia,none,0.2778
student_0007,Fisica_Energia,segno,0.0556
student_0007,Funzioni,concetto,0.125
student_0007,Funzioni,distrazione,0.1875
student_0007,Funzioni,formula,0.0625
student_0007,Funzioni,none,0.5
student_0007,Funzioni,segno,0.125
student_0008,Algebra,algebra,0.125
student_0008,Algebra,distrazione,0.25
student_0008,Algebra,formula,0.125
student_0008,Algebra,none,0.375
student_0008,Algebra,segno,0.125
student_0008,Derivate,concetto,0.1429
student_0008,Derivate,formula,0.0952
student_0008,Derivate,none,0.7143
student_0008,Derivate,segno,0.0476
student_0008,Fisica_Dinamica,algebra,0.0833
student_0008,Fisica_Dinamica,concetto,0.1667
student_0008,Fisica_Dinamica,distrazione,0.0833
student_0008,Fisica_Dinamica,formula,0.1667
student_0008,Fisica_Dinamica,none,0.5
student_0008,Fisica_Energia,concetto,0.2222
student_0008,Fisica_Energia,distrazione,0.1667
student_0008,Fisica_Energia,formula,0.1111
student_0008,Fisica_Energia,none,0.5
student_0008,Funzioni,algebra,0.125
student_0008,Funzioni,concetto,0.125
student_0008,Funzioni,distrazione,0.1875
student_0008,Funzioni,formula,0.125
student_0008,Funzioni,none,0.3125
student_0008,Funzioni,segno,0.125
student_0009,Algebra,concetto,0.125
student_0009,Algebra,distrazione,0.125
student_0009,Algebra,none,0.625
student_0009,Algebra,segno,0.125
student_0009,Derivate,algebra,0.0952
student_0009,Derivate,concetto,0.0476
student_0009,Derivate,distrazione,0.0952
student_0009,Derivate,formula,0.1429
student_0009,Derivate,none,0.619
student_0009,Fisica_Dinamica,concetto,0.0833
student_0009,Fisica_Dinamica,distrazione,0.0833
student_0009,Fisica_Dinamica,formula,0.0833
student_0009,Fisica_Dinamica,none,0.75
student_0009,Fisica_Energia,concetto,0.0556
student_0009,Fisica_Energia,distrazione,0.1667
student_0009,Fisica_Energia,formula,0.0556
student_0009,Fisica_Energia,none,0.7222
student_0009,Funzioni,algebra,0.125
student_0009,Funzioni,concetto,0.1875
student_0009,Funzioni,distrazione,0.1875
student_0009,Funzioni,formula,0.1875
student_0009,Funzioni,none,0.25
student_0009,Funzioni,segno,0.0625
student_0010,Algebra,algebra,0.125
student_0010,Algebra,none,0.75
student_0010,Algebra,segno,0.125
student_0010,Derivate,algebra,0.0952
student_0010,Derivate,distrazione,0.1429
student_0010,Derivate,formula,0.0476
student_0010,Derivate,none,0.7143
student_0010,Fisica_Dinamica,algebra,0.1667
student_0010,Fisica_Dinamica,concetto,0.4167
student_0010,Fisica_Dinamica,none,0.4167
student_0010,Fisica_Energia,algebra,0.0556
student_0010,Fisica_Energia,concetto,0.3333
student_0010,Fisica_Energia,distrazione,0.0556
student_0010,Fisica_Energia,formula,0.0556
student_0010,Fisica_Energia,none,0.5
student_0010,Funzioni,algebra,0.1875
student_0010,Funzioni,concetto,0.125
student_0010,Funzioni,formula,0.1875
student_0010,Funzioni,none,0.3125
student_0010,Funzioni,segno,0.1875
student_0011,Algebra,algebra,0.25
student_0011,Algebra,distrazione,0.125
student_0011,Algebra,formula,0.125
student_0011,Algebra,none,0.375
student_0011,Algebra,segno,0.125
student_0011,Derivate,algebra,0.0476
student_0011,Derivate,concetto,0.1429
student_0011,Derivate,formula,0.1429
student_0011,Derivate,none,0.619
student_0011,Derivate,segno,0.0476
student_0011,Fisica_Dinamica,algebra,0.1667
student_0011,Fisica_Dinamica,distrazione,0.0833
student_0011,Fisica_Dinamica,none,0.75
student_0011,Fisica_Energia,algebra,0.0556
student_0011,Fisica_Energia,concetto,0.2222
student_0011,Fisica_Energia,formula,0.2222
student_0011,Fisica_Energia,none,0.5
student_0011,Funzioni,algebra,0.0625
student_0011,Funzioni,concetto,0.125
student_0011,Funzioni,distrazione,0.0625
student_0011,Funzioni,formula,0.0625
student_0011,Funzioni,none,0.5
student_0011,Funzioni,segno,0.1875
student_0012,Algebra,algebra,0.125
student_0012,Algebra,none,0.625
student_0012,Algebra,segno,0.25
student_0012,Derivate,algebra,0.0476
student_0012,Derivate,concetto,0.0952
student_0012,Derivate,distrazione,0.0476
student_0012,Derivate,formula,0.0952
student_0012,Derivate,none,0.619
student_0012,Derivate,segno,0.0952
student_0012,Fisica_Dinamica,algebra,0.0833
student_0012,Fisica_Dinamica,concetto,0.25
student_0012,Fisica_Dinamica,distrazione,0.0833
student_0012,Fisica_Dinamica,none,0.5833
student_0012,Fisica_Energia,algebra,0.0556
student_0012,Fisica_Energia,concetto,0.2778
student_0012,Fisica_Energia,distrazione,0.2222
student_0012,Fisica_Energia,formula,0.1111
student_0012,Fisica_Energia,none,0.3333
student_0012,Funzioni,algebra,0.0625
student_0012,Funzioni,concetto,0.125
student_0012,Funzioni,distrazione,0.125
student_0012,Funzioni,formula,0.0625
student_0012,Funzioni,none,0.5625
student_0012,Funzioni,segno,0.0625
student_0013,Algebra,algebra,0.125
student_0013,Algebra,distrazione,0.125
student_0013,Algebra,formula,0.125
student_0013,Algebra,none,0.625
student_0013,Derivate,algebra,0.1905
student_0013,Derivate,formula,0.2857
student_0013,Derivate,none,0.4762
student_0013,Derivate,segno,0.0476
student_0013,Fisica_Dinamica,concetto,0.25
student_0013,Fisica_Dinamica,distrazione,0.0833
student_0013,Fisica_Dinamica,none,0.6667
student_0013,Fisica_Energia,concetto,0.1111
student_0013,Fisica_Energia,formula,0.0556
student_0013,Fisica_Energia,none,0.7778
student_0013,Fisica_Energia,segno,0.0556
student_0013,Funzioni,algebra,0.125
student_0013,Funzioni,concetto,0.0625
student_0013,Funzioni,distrazione,0.125
student_0013,Funzioni,formula,0.3125
student_0013,Funzioni,none,0.375
student_0014,Algebra,algebra,0.125
student_0014,Algebra,distrazione,0.25
student_0014,Algebra,formula,0.125
student_0014,Algebra,none,0.125
student_0014,Algebra,segno,0.375
student_0014,Derivate,algebra,0.0952
student_0014,Derivate,concetto,0.1429
student_0014,Derivate,distrazione,0.0476
student_0014,Derivate,formula,0.1429
student_0014,Derivate,none,0.5714
student_0014,Fisica_Dinamica,algebra,0.0833
student_0014,Fisica_Dinamica,formula,0.25
student_0014,Fisica_Dinamica,none,0.6667
student_0014,Fisica_Energia,concetto,0.3333
student_0014,Fisica_Energia,formula,0.1111
student_0014,Fisica_Energia,none,0.5556
student_0014,Funzioni,concetto,0.0625
student_0014,Funzioni,distrazione,0.125
student_0014,Funzioni,none,0.8125
student_0015,Algebra,formula,0.125
student_0015,Algebra,none,0.5
student_0015,Algebra,segno,0.375
student_0015,Derivate,algebra,0.1905
student_0015,Derivate,concetto,0.0952
student_0015,Derivate,formula,0.0952
student_0015,Derivate,none,0.619
student_0015,Fisica_Dinamica,concetto,0.0833
student_0015,Fisica_Dinamica,formula,0.25
student_0015,Fisica_Dinamica,none,0.5833
student_0015,Fisica_Dinamica,segno,0.0833
student_0015,Fisica_Energia,algebra,0.1667
student_0015,Fisica_Energia,concetto,0.2778
student_0015,Fisica_Energia,formula,0.0556
student_0015,Fisica_Energia,none,0.5
student_0015,Funzioni,algebra,0.1875
student_0015,Funzioni,concetto,0.0625
student_0015,Funzioni,formula,0.1875
student_0015,Funzioni,none,0.4375
student_0015,Funzioni,segno,0.125
student_0016,Algebra,algebra,0.25
student_0016,Algebra,none,0.625
student_0016,Algebra,segno,0.125
student_0016,Derivate,concetto,0.0476
student_0016,Derivate,formula,0.0476
student_0016,Derivate,none,0.9048
student_0016,Fisica_Dinamica,concetto,0.25
student_0016,Fisica_Dinamica,distrazione,0.0833
student_0016,Fisica_Dinamica,none,0.6667
student_0016,Fisica_Energia,concetto,0.1667
student_0016,Fisica_Energia,distrazione,0.1111
student_0016,Fisica_Energia,formula,0.1111
student_0016,Fisica_Energia,none,0.6111
student_0016,Funzioni,algebra,0.125
student_0016,Funzioni,concetto,0.125
student_0016,Funzioni,distrazione,0.125
student_0016,Funzioni,formula,0.25
student_0016,Funzioni,none,0.3125
student_0016,Funzioni,segno,0.0625
student_0017,Algebra,none,0.875
student_0017,Algebra,segno,0.125
student_0017,Derivate,algebra,0.0476
student_0017,Derivate,concetto,0.1905
student_0017,Derivate,formula,0.1429
student_0017,Derivate,none,0.4762
student_0017,Derivate,segno,0.1429
student_0017,Fisica_Dinamica,concetto,0.1667
student_0017,Fisica_Dinamica,distrazione,0.0833
student_0017,Fisica_Dinamica,formula,0.1667
student_0017,Fisica_Dinamica,none,0.5833
student_0017,Fisica_Energia,concetto,0.3333
student_0017,Fisica_Energia,distrazione,0.0556
student_0017,Fisica_Energia,formula,0.1111
student_0017,Fisica_Energia,none,0.3889
student_0017,Fisica_Energia,segno,0.1111
student_0017,Funzioni,algebra,0.0625
student_0017,Funzioni,concetto,0.0625
student_0017,Funzioni,distrazione,0.125
student_0017,Funzioni,formula,0.1875
student_0017,Funzioni,none,0.375
student_0017,Funzioni,segno,0.1875
student_0018,Algebra,algebra,0.25
student_0018,Algebra,concetto,0.125
student_0018,Algebra,distrazione,0.125
student_0018,Algebra,formula,0.125
student_0018,Algebra,none,0.375
student_0018,Derivate,algebra,0.0952
student_0018,Derivate,distrazione,0.0476
student_0018,Derivate,formula,0.0952
student_0018,Derivate,none,0.7143
student_0018,Derivate,segno,0.0476
student_0018,Fisica_Dinamica,algebra,0.0833
student_0018,Fisica_Dinamica,none,0.9167
student_0018,Fisica_Energia,algebra,0.0556
student_0018,Fisica_Energia,concetto,0.3333
student_0018,Fisica_Energia,distrazione,0.0556
student_0018,Fisica_Energia,formula,0.0556
student_0018,Fisica_Energia,none,0.4444
student_0018,Fisica_Energia,segno,0.0556
student_0018,Funzioni,concetto,0.0625
student_0018,Funzioni,distrazione,0.125
student_0018,Funzioni,formula,0.0625
student_0018,Funzioni,none,0.6875
student_0018,Funzioni,segno,0.0625
student_0019,Algebra,algebra,0.25
student_0019,Algebra,none,0.5
student_0019,Algebra,segno,0.25
student_0019,Derivate,concetto,0.0476
student_0019,Derivate,distrazione,0.0476
student_0019,Derivate,formula,0.0952
student_0019,Derivate,none,0.7143
student_0019,Derivate,segno,0.0952
student_0019,Fisica_Dinamica,algebra,0.0833
student_0019,Fisica_Dinamica,concetto,0.4167
student_0019,Fisica_Dinamica,formula,0.1667
student_0019,Fisica_Dinamica,none,0.3333
student_0019,Fisica_Energia,algebra,0.1111
student_0019,Fisica_Energia,concetto,0.2222
student_0019,Fisica_Energia,distrazione,0.1111
student_0019,Fisica_Energia,formula,0.0556
student_0019,Fisica_Energia,none,0.4444
student_0019,Fisica_Energia,segno,0.0556
student_0019,Funzioni,concetto,0.3125
student_0019,Funzioni,distrazione,0.25
student_0019,Funzioni,formula,0.1875
student_0019,Funzioni,none,0.125
student_0019,Funzioni,segno,0.125
student_0020,Algebra,distrazione,0.375
student_0020,Algebra,none,0.5
student_0020,Algebra,segno,0.125
student_0020,Derivate,algebra,0.1429
student_0020,Derivate,concetto,0.1429
student_0020,Derivate,distrazione,0.0476
student_0020,Derivate,formula,0.1905
student_0020,Derivate,none,0.4762
student_0020,Fisica_Dinamica,algebra,0.0833
student_0020,Fisica_Dinamica,concetto,0.25
student_0020,Fisica_Dinamica,formula,0.0833
student_0020,Fisica_Dinamica,none,0.5833
student_0020,Fisica_Energia,algebra,0.0556
student_0020,Fisica_Energia,concetto,0.2222
student_0020,Fisica_Energia,formula,0.2222
student_0020,Fisica_Energia,none,0.4444
student_0020,Fisica_Energia,segno,0.0556
student_0020,Funzioni,algebra,0.3125
student_0020,Funzioni,concetto,0.0625
student_0020,Funzioni,distrazione,0.0625
student_0020,Funzioni,formula,0.25
student_0020,Funzioni,none,0.1875
student_0020,Funzioni,segno,0.125
student_0021,Algebra,algebra,0.125
student_0021,Algebra,distrazione,0.125
student_0021,Algebra,none,0.75
student_0021,Derivate,algebra,0.0952
student_0021,Derivate,concetto,0.0476
student_0021,Derivate,distrazione,0.0952
student_0021,Derivate,formula,0.1905
student_0021,Derivate,none,0.4762
student_0021,Derivate,segno,0.0952
student_0021,Fisica_Dinamica,algebra,0.25
student_0021,Fisica_Dinamica,concetto,0.3333
student_0021,Fisica_Dinamica,formula,0.1667
student_0021,Fisica_Dinamica,none,0.25
student_0021,Fisica_Energia,algebra,0.0556
student_0021,Fisica_Energia,concetto,0.1667
student_0021,Fisica_Energia,formula,0.2222
student_0021,Fisica_Energia,none,0.5556
student_0021,Funzioni,algebra,0.1875
student_0021,Funzioni,concetto,0.25
student_0021,Funzioni,distrazione,0.125
student_0021,Funzioni,formula,0.0625
student_0021,Funzioni,none,0.3125
student_0021,Funzioni,segno,0.0625
student_0022,Algebra,algebra,0.125
student_0022,Algebra,none,0.375
student_0022,Algebra,segno,0.5
student_0022,Derivate,algebra,0.0952
student_0022,Derivate,concetto,0.1429
student_0022,Derivate,distrazione,0.0952
student_0022,Derivate,formula,0.1905
student_0022,Derivate,none,0.4762
student_0022,Fisica_Dinamica,algebra,0.0833
student_0022,Fisica_Dinamica,concetto,0.25
student_0022,Fisica_Dinamica,distrazione,0.0833
student_0022,Fisica_Dinamica,formula,0.1667
student_0022,Fisica_Dinamica,none,0.4167
student_0022,Fisica_Energia,concetto,0.2222
student_0022,Fisica_Energia,distrazione,0.1111
student_0022,Fisica_Energia,formula,0.0556
student_0022,Fisica_Energia,none,0.6111
student_0022,Funzioni,algebra,0.0625
student_0022,Funzioni,concetto,0.1875
student_0022,Funzioni,distrazione,0.125
student_0022,Funzioni,formula,0.25
student_0022,Funzioni,none,0.375
student_0023,Algebra,algebra,0.125
student_0023,Algebra,distrazione,0.125
student_0023,Algebra,none,0.75
student_0023,Derivate,algebra,0.0952
student_0023,Derivate,concetto,0.0952
student_0023,Derivate,distrazione,0.0476
student_0023,Derivate,formula,0.1905
student_0023,Derivate,none,0.5238
student_0023,Derivate,segno,0.0476
student_0023,Fisica_Dinamica,concetto,0.25
student_0023,Fisica_Dinamica,distrazione,0.0833
student_0023,Fisica_Dinamica,formula,0.1667
student_0023,Fisica_Dinamica,none,0.5
student_0023,Fisica_Energia,concetto,0.2778
student_0023,Fisica_Energia,formula,0.1111
student_0023,Fisica_Energia,none,0.6111
student_0023,Funzioni,algebra,0.0625
student_0023,Funzioni,concetto,0.125
student_0023,Funzioni,distrazione,0.1875
student_0023,Funzioni,none,0.375
student_0023,Funzioni,segno,0.25
student_0024,Algebra,algebra,0.125
student_0024,Algebra,distrazione,0.125
student_0024,Algebra,none,0.625
student_0024,Algebra,segno,0.125
student_0024,Derivate,concetto,0.0952
student_0024,Derivate,formula,0.1429
student_0024,Derivate,none,0.7143
student_0024,Derivate,segno,0.0476
student_0024,Fisica_Dinamica,concetto,0.3333
student_0024,Fisica_Dinamica,distrazione,0.0833
student_0024,Fisica_Dinamica,formula,0.0833
student_0024,Fisica_Dinamica,none,0.3333
student_0024,Fisica_Dinamica,segno,0.1667
student_0024,Fisica_Energia,concetto,0.1667
student_0024,Fisica_Energia,distrazione,0.0556
student_0024,Fisica_Energia,formula,0.0556
student_0024,Fisica_Energia,none,0.7222
student_0024,Funzioni,algebra,0.0625
student_0024,Funzioni,concetto,0.1875
student_0024,Funzioni,distrazione,0.1875
student_0024,Funzioni,formula,0.0625
student_0024,Funzioni,none,0.375
student_0024,Funzioni,segno,0.125
student_0025,Algebra,algebra,0.25
student_0025,Algebra,distrazione,0.125
student_0025,Algebra,formula,0.125
student_0025,Algebra,none,0.375
student_0025,Algebra,segno,0.125
student_0025,Derivate,algebra,0.0952
student_0025,Derivate,concetto,0.0952
student_0025,Derivate,formula,0.1905
student_0025,Derivate,none,0.5714
student_0025,Derivate,segno,0.0476
student_0025,Fisica_Dinamica,algebra,0.0833
student_0025,Fisica_Dinamica,concetto,0.25
student_0025,Fisica_Dinamica,formula,0.0833
student_0025,Fisica_Dinamica,none,0.5
student_0025,Fisica_Dinamica,segno,0.0833
student_0025,Fisica_Energia,concetto,0.3333
student_0025,Fisica_Energia,formula,0.0556
student_0025,Fisica_Energia,none,0.6111
student_0025,Funzioni,algebra,0.0625
student_0025,Funzioni,concetto,0.0625
student_0025,Funzioni,distrazione,0.125
student_0025,Funzioni,formula,0.0625
student_0025,Funzioni,none,0.625
student_0025,Funzioni,segno,0.0625
student_0026,Algebra,algebra,0.375
student_0026,Algebra,distrazione,0.125
student_0026,Algebra,none,0.5
student_0026,Derivate,algebra,0.0952
student_0026,Derivate,formula,0.2857
student_0026,Derivate,none,0.5238
student_0026,Derivate,segno,0.0952
student_0026,Fisica_Dinamica,concetto,0.25
student_0026,Fisica_Dinamica,distrazione,0.0833
student_0026,Fisica_Dinamica,formula,0.0833
student_0026,Fisica_Dinamica,none,0.5
student_0026,Fisica_Dinamica,segno,0.0833
student_0026,Fisica_Energia,algebra,0.1667
student_0026,Fisica_Energia,concetto,0.0556
student_0026,Fisica_Energia,distrazione,0.0556
student_0026,Fisica_Energia,none,0.7222
student_0026,Funzioni,algebra,0.0625
student_0026,Funzioni,concetto,0.3125
student_0026,Funzioni,distrazione,0.125
student_0026,Funzioni,formula,0.1875
student_0026,Funzioni,none,0.25
student_0026,Funzioni,segno,0.0625
student_0027,Algebra,distrazione,0.125
student_0027,Algebra,none,0.75
student_0027,Algebra,segno,0.125
student_0027,Derivate,algebra,0.1905
student_0027,Derivate,concetto,0.0952
student_0027,Derivate,distrazione,0.0476
student_0027,Derivate,formula,0.1429
student_0027,Derivate,none,0.5238
student_0027,Fisica_Dinamica,concetto,0.3333
student_0027,Fisica_Dinamica,distrazione,0.0833
student_0027,Fisica_Dinamica,formula,0.25
student_0027,Fisica_Dinamica,none,0.3333
student_0027,Fisica_Energia,concetto,0.3333
student_0027,Fisica_Energia,distrazione,0.0556
student_0027,Fisica_Energia,formula,0.0556
student_0027,Fisica_Energia,none,0.5
student_0027,Fisica_Energia,segno,0.0556
student_0027,Funzioni,algebra,0.1875
student_0027,Funzioni,distrazione,0.1875
student_0027,Funzioni,formula,0.125
student_0027,Funzioni,none,0.4375
student_0027,Funzioni,segno,0.0625
student_0028,Algebra,algebra,0.25
student_0028,Algebra,distrazione,0.125
student_0028,Algebra,none,0.5
student_0028,Algebra,segno,0.125
student_0028,Derivate,algebra,0.0476
student_0028,Derivate,concetto,0.0952
student_0028,Derivate,formula,0.3333
student_0028,Derivate,none,0.4762
student_0028,Derivate,segno,0.0476
student_0028,Fisica_Dinamica,concetto,0.25
student_0028,Fisica_Dinamica,formula,0.1667
student_0028,Fisica_Dinamica,none,0.5833
student_0028,Fisica_Energia,concetto,0.2222
student_0028,Fisica_Energia,formula,0.0556
student_0028,Fisica_Energia,none,0.6667
student_0028,Fisica_Energia,segno,0.0556
student_0028,Funzioni,algebra,0.125
student_0028,Funzioni,distrazione,0.0625
student_0028,Funzioni,formula,0.375
student_0028,Funzioni,none,0.4375
student_0029,Algebra,algebra,0.375
student_0029,Algebra,distrazione,0.125
student_0029,Algebra,formula,0.125
student_0029,Algebra,none,0.125
student_0029,Algebra,segno,0.25
student_0029,Derivate,algebra,0.1905
student_0029,Derivate,concetto,0.0952
student_0029,Derivate,formula,0.2381
student_0029,Derivate,none,0.381
student_0029,Derivate,segno,0.0952
student_0029,Fisica_Dinamica,concetto,0.1667
student_0029,Fisica_Dinamica,distrazione,0.0833
student_0029,Fisica_Dinamica,formula,0.0833
student_0029,Fisica_Dinamica,none,0.6667
student_0029,Fisica_Energia,algebra,0.0556
student_0029,Fisica_Energia,concetto,0.2222
student_0029,Fisica_Energia,distrazione,0.0556
student_0029,Fisica_Energia,formula,0.0556
student_0029,Fisica_Energia,none,0.5556
student_0029,Fisica_Energia,segno,0.0556
student_0029,Funzioni,concetto,0.1875
student_0029,Funzioni,distrazione,0.125
student_0029,Funzioni,formula,0.25
student_0029,Funzioni,none,0.3125
student_0029,Funzioni,segno,0.125
student_0030,Algebra,distrazione,0.25
student_0030,Algebra,none,0.625
student_0030,Algebra,segno,0.125
student_0030,Derivate,concetto,0.0952
student_0030,Derivate,formula,0.1905
student_0030,Derivate,none,0.7143
student_0030,Fisica_Dinamica,concetto,0.1667
student_0030,Fisica_Dinamica,formula,0.1667
student_0030,Fisica_Dinamica,none,0.6667
student_0030,Fisica_Energia,concetto,0.3333
student_0030,Fisica_Energia,distrazione,0.1111
student_0030,Fisica_Energia,formula,0.1667
student_0030,Fisica_Energia,none,0.3333
student_0030,Fisica_Energia,segno,0.0556
student_0030,Funzioni,algebra,0.125
student_0030,Funzioni,concetto,0.1875
student_0030,Funzioni,distrazione,0.0625
student_0030,Funzioni,formula,0.125
student_0030,Funzioni,none,0.375
student_0030,Funzioni,segno,0.125
student_0031,Algebra,algebra,0.125
student_0031,Algebra,concetto,0.125
student_0031,Algebra,formula,0.25
student_0031,Algebra,none,0.375
student_0031,Algebra,segno,0.125
student_0031,Derivate,concetto,0.0476
student_0031,Derivate,distrazione,0.0476
student_0031,Derivate,formula,0.2857
student_0031,Derivate,none,0.4762
student_0031,Derivate,segno,0.1429
student_0031,Fisica_Dinamica,concetto,0.5
student_0031,Fisica_Dinamica,distrazione,0.0833
student_0031,Fisica_Dinamica,formula,0.0833
student_0031,Fisica_Dinamica,none,0.3333
student_0031,Fisica_Energia,algebra,0.0556
student_0031,Fisica_Energia,concetto,0.2778
student_0031,Fisica_Energia,formula,0.1111
student_0031,Fisica_Energia,none,0.5556
student_0031,Funzioni,algebra,0.0625
student_0031,Funzioni,distrazione,0.0625
student_0031,Funzioni,formula,0.125
student_0031,Funzioni,none,0.625
student_0031,Funzioni,segno,0.125
student_0032,Algebra,algebra,0.25
student_0032,Algebra,none,0.5
student_0032,Algebra,segno,0.25
student_0032,Derivate,algebra,0.0476
student_0032,Derivate,concetto,0.1429
student_0032,Derivate,distrazione,0.0476
student_0032,Derivate,formula,0.2381
student_0032,Derivate,none,0.5238
student_0032,Fisica_Dinamica,concetto,0.1667
student_0032,Fisica_Dinamica,formula,0.0833
student_0032,Fisica_Dinamica,none,0.6667
student_0032,Fisica_Dinamica,segno,0.0833
student_0032,Fisica_Energia,algebra,0.0556
student_0032,Fisica_Energia,concetto,0.1667
student_0032,Fisica_Energia,distrazione,0.1667
student_0032,Fisica_Energia,formula,0.0556
student_0032,Fisica_Energia,none,0.5
student_0032,Fisica_Energia,segno,0.0556
student_0032,Funzioni,algebra,0.125
student_0032,Funzioni,concetto,0.0625
student_0032,Funzioni,formula,0.0625
